,Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,Unnamed: 15,Unnamed: 16
757,11/04/2004,07.00.00,"0,9",888.0,60.0,"3,0",651.0,51.0,1240.0,52.0,1298.0,733.0,"8,2","66,6","0,7283",,
967,20/04/2004,01.00.00,-200,887.0,-200.0,"2,9",648.0,-200.0,1222.0,-200.0,1357.0,553.0,"9,5","80,2","0,9533",,
383,26/03/2004,17.00.00,"2,3",1180.0,247.0,"11,2",1023.0,127.0,886.0,102.0,1588.0,966.0,"14,2","43,3","0,6982",,
85,14/03/2004,07.00.00,"0,9",1028.0,27.0,"2,4",615.0,74.0,1384.0,67.0,1340.0,853.0,"10,4","67,6","0,8530",,
3783,15/08/2004,09.00.00,"1,1",955.0,-200.0,"6,0",811.0,61.0,841.0,59.0,1562.0,759.0,"26,3","50,1","1,6889",,
2319,15/06/2004,09.00.00,"2,4",1003.0,-200.0,"10,9",1009.0,181.0,823.0,96.0,1710.0,1015.0,"25,3","35,8","1,1421",,
2219,11/06/2004,05.00.00,"0,6",825.0,-200.0,"4,0",709.0,68.0,1050.0,74.0,1491.0,813.0,"19,3","51,4","1,1364",,
604,04/04/2004,22.00.00,-200,1196.0,-200.0,"6,9",853.0,-200.0,909.0,-200.0,1556.0,769.0,"15,8","58,8","1,0464",,
17,11/03/2004,11.00.00,"1,5",1179.0,43.0,"5,0",762.0,95.0,1328.0,92.0,1362.0,671.0,"10,5","57,9","0,7352",,
823,14/04/2004,01.00.00,"0,9",936.0,85.0,"3,9",705.0,73.0,1086.0,73.0,1364.0,918.0,"10,9","64,6","0,8395",,
188,18/03/2004,14.00.00,"2,3",1379.0,-200.0,"13,1",1087.0,137.0,901.0,126.0,1660.0,1144.0,"25,2","24,9","0,7829",,
3650,09/08/2004,20.00.00,"1,9",1091.0,-200.0,"8,6",925.0,81.0,730.0,95.0,1685.0,1020.0,"29,8","41,7","1,7167",,
225,20/03/2004,03.00.00,"1,3",997.0,-200.0,"3,4",677.0,-200.0,1252.0,-200.0,1359.0,591.0,"13,8","55,1","0,8666",,
591,04/04/2004,09.00.00,-200,1275.0,-200.0,"8,0",900.0,-200.0,868.0,-200.0,1634.0,1057.0,"18,1","49,8","1,0272",,
202,19/03/2004,04.00.00,-200,934.0,-200.0,"1,8",569.0,20.0,1440.0,32.0,1280.0,397.0,"12,3","67,7","0,9665",,
1435,09/05/2004,13.00.00,-200,1013.0,-200.0,"4,1",718.0,-200.0,1041.0,-200.0,1492.0,558.0,"14,7","68,4","1,1405",,
984,20/04/2004,18.00.00,-200,1428.0,-200.0,"25,3",1437.0,-200.0,599.0,-200.0,2156.0,1526.0,"22,6","39,5","1,0679",,
1767,23/05/2004,09.00.00,"0,8",976.0,-200.0,"3,8",698.0,64.0,1156.0,64.0,1393.0,594.0,"20,6","41,2","0,9841",,
618,05/04/2004,12.00.00,"3,2",1498.0,445.0,"15,7",1171.0,206.0,684.0,114.0,1942.0,1434.0,"17,0","54,3","1,0434",,
911,17/04/2004,17.00.00,-200,970.0,-200.0,"5,0",763.0,-200.0,1043.0,-200.0,1462.0,608.0,"17,9","49,9","1,0135",,
27,11/03/2004,21.00.00,"3,9",1313.0,197.0,"12,8",1076.0,240.0,957.0,136.0,1707.0,1285.0,"9,1","64,0","0,7419",,
3843,17/08/2004,21.00.00,-200,1109.0,-200.0,"9,3",952.0,-200.0,735.0,-200.0,1601.0,1041.0,"29,1","33,6","1,3314",,
2580,26/06/2004,06.00.00,"0,9",891.0,-200.0,"5,5",790.0,74.0,960.0,70.0,1466.0,816.0,"18,6","45,8","0,9723",,
1361,06/05/2004,11.00.00,"2,1",992.0,-200.0,"9,8",970.0,135.0,869.0,100.0,1624.0,884.0,"18,5","42,8","0,9026",,
3375,29/07/2004,09.00.00,-200,1145.0,-200.0,"17,9",1238.0,230.0,600.0,140.0,1809.0,1507.0,"26,8","29,5","1,0209",,
209,19/03/2004,11.00.00,"3,3",1390.0,-200.0,"16,4",1191.0,218.0,759.0,135.0,1879.0,1268.0,"14,5","54,4","0,8917",,
3525,04/08/2004,15.00.00,-200,1003.0,-200.0,"8,0",901.0,-200.0,813.0,-200.0,1589.0,661.0,"39,1","21,7","1,5031",,
1103,25/04/2004,17.00.00,"1,4",918.0,138.0,"4,7",748.0,81.0,1228.0,76.0,1219.0,505.0,"19,6","24,9","0,5625",,
1316,04/05/2004,14.00.00,"2,4",1142.0,-200.0,"12,1",1053.0,136.0,753.0,105.0,1814.0,979.0,"20,4","54,0","1,2757",,
476,30/03/2004,14.00.00,"2,2",1185.0,245.0,"10,4",992.0,138.0,942.0,97.0,1448.0,1014.0,"20,9","21,7","0,5295",,
2673,30/06/2004,03.00.00,"0,7",901.0,-200.0,"3,7",697.0,-200.0,952.0,-200.0,1586.0,800.0,"26,8","51,9","1,8058",,
2907,09/07/2004,21.00.00,"1,7",1036.0,-200.0,"10,2",986.0,113.0,776.0,112.0,1614.0,868.0,"24,8","36,8","1,1357",,
16,11/03/2004,10.00.00,"1,7",1233.0,77.0,"6,3",827.0,112.0,1218.0,98.0,1446.0,860.0,"10,8","58,4","0,7552",,
3471,02/08/2004,09.00.00,"1,9",1180.0,-200.0,"11,5",1031.0,163.0,633.0,124.0,1866.0,1067.0,"28,4","50,7","1,9329",,
370,26/03/2004,04.00.00,"0,7",925.0,40.0,"2,2",602.0,45.0,1398.0,59.0,1263.0,562.0,"8,0","69,4","0,7459",,
1411,08/05/2004,13.00.00,-200,1124.0,-200.0,"9,2",949.0,-200.0,827.0,-200.0,1671.0,1008.0,"16,2","60,0","1,0937",,
3504,03/08/2004,18.00.00,-200,1166.0,-200.0,"13,7",1108.0,140.0,622.0,134.0,1854.0,913.0,"35,5","28,9","1,6468",,
623,05/04/2004,17.00.00,"3,2",1457.0,458.0,"16,3",1190.0,160.0,678.0,111.0,1877.0,1212.0,"20,3","42,8","1,0053",,
1694,20/05/2004,08.00.00,"5,4",1763.0,-200.0,"32,9",1617.0,253.0,489.0,146.0,2503.0,1835.0,"18,7","52,8","1,1279",,
758,11/04/2004,08.00.00,"1,1",912.0,88.0,"3,7",694.0,61.0,1196.0,58.0,1343.0,727.0,"8,7","64,3","0,7267",,
1058,23/04/2004,20.00.00,"4,6",1482.0,692.0,"20,8",1319.0,230.0,660.0,146.0,1975.0,1703.0,"21,5","40,8","1,0333",,
708,09/04/2004,06.00.00,"1,5",-200.0,150.0,"-200,0",-200.0,169.0,-200.0,86.0,-200.0,-200.0,-200,-200,-200,,
2846,07/07/2004,08.00.00,"4,1",1428.0,-200.0,"27,9",1500.0,358.0,496.0,141.0,2275.0,2021.0,"26,9","34,4","1,2036",,
2069,04/06/2004,23.00.00,"2,9",1120.0,-200.0,"13,1",1088.0,-200.0,849.0,-200.0,1785.0,1067.0,"21,7","44,7","1,1451",,
526,01/04/2004,16.00.00,"2,3",-200.0,319.0,"-200,0",-200.0,131.0,-200.0,93.0,-200.0,-200.0,-200,-200,-200,,
2370,17/06/2004,12.00.00,"1,9",1037.0,-200.0,"9,8",969.0,127.0,841.0,105.0,1728.0,865.0,"27,4","37,0","1,3319",,
3319,27/07/2004,01.00.00,-200,861.0,-200.0,"4,3",729.0,22.0,942.0,40.0,1479.0,684.0,"27,1","38,6","1,3632",,
3296,26/07/2004,02.00.00,"0,8",880.0,-200.0,"2,9",649.0,30.0,1056.0,48.0,1465.0,529.0,"26,2","45,7","1,5324",,
1703,20/05/2004,17.00.00,"3,5",1401.0,-200.0,"21,7",1342.0,192.0,663.0,148.0,1959.0,1267.0,"31,2","20,3","0,9064",,
801,13/04/2004,03.00.00,"0,4",868.0,32.0,"1,3",530.0,-200.0,1482.0,-200.0,1215.0,384.0,"10,6","63,1","0,8068",,
3079,17/07/2004,01.00.00,"1,6",977.0,-200.0,"9,4",956.0,93.0,765.0,93.0,1581.0,1114.0,"23,6","39,2","1,1306",,
674,07/04/2004,20.00.00,"3,3",1207.0,343.0,"11,0",1013.0,174.0,876.0,116.0,1632.0,982.0,"10,0","74,0","0,9087",,
3619,08/08/2004,13.00.00,"0,8",901.0,-200.0,"3,6",689.0,36.0,964.0,45.0,1543.0,522.0,"32,2","40,3","1,8999",,
3964,22/08/2004,22.00.00,-200,922.0,-200.0,"6,1",818.0,-200.0,826.0,-200.0,1454.0,848.0,"25,7","38,5","1,2548",,
2984,13/07/2004,02.00.00,"0,5",751.0,-200.0,"2,0",587.0,43.0,1165.0,50.0,1353.0,678.0,"18,4","53,4","1,1170",,
747,10/04/2004,21.00.00,2,1110.0,168.0,"8,2",909.0,125.0,916.0,115.0,1487.0,984.0,"13,2","50,3","0,7577",,
3988,23/08/2004,22.00.00,"1,2",895.0,-200.0,"6,8",846.0,41.0,819.0,60.0,1371.0,787.0,"26,6","30,6","1,0459",,
159,17/03/2004,09.00.00,"6,6",1852.0,534.0,"36,4",1696.0,377.0,553.0,127.0,2535.0,1931.0,"14,1","50,0","0,8020",,
1255,02/05/2004,01.00.00,"1,8",1072.0,-200.0,"7,9",894.0,76.0,893.0,74.0,1646.0,1118.0,"17,1","60,4","1,1633",,
47,12/03/2004,17.00.00,"2,4",1274.0,133.0,"11,7",1041.0,150.0,1006.0,119.0,1610.0,994.0,"16,9","34,3","0,6549",,
397,27/03/2004,07.00.00,"1,1",976.0,42.0,"3,3",669.0,68.0,1270.0,65.0,1266.0,795.0,"7,2","62,9","0,6396",,
2105,06/06/2004,11.00.00,"0,8",775.0,-200.0,"3,0",653.0,52.0,1349.0,53.0,1365.0,491.0,"25,4","31,6","1,0058",,
1069,24/04/2004,07.00.00,"1,5",1134.0,151.0,"10,0",979.0,106.0,794.0,73.0,1639.0,1140.0,"14,6","56,8","0,9385",,
52,12/03/2004,22.00.00,"3,5",1484.0,215.0,"14,3",1127.0,253.0,839.0,139.0,1723.0,1491.0,"11,0","59,1","0,7740",,
1615,17/05/2004,01.00.00,"0,9",835.0,-200.0,"3,7",691.0,52.0,1265.0,67.0,1182.0,517.0,"19,1","25,9","0,5673",,
2252,12/06/2004,14.00.00,"1,2",1008.0,-200.0,"7,2",866.0,58.0,937.0,68.0,1573.0,695.0,"36,0","20,5","1,1995",,
1387,07/05/2004,13.00.00,"2,2",926.0,-200.0,"10,9",1010.0,132.0,904.0,110.0,1526.0,720.0,"19,7","28,5","0,6445",,
3692,11/08/2004,14.00.00,1,995.0,-200.0,"5,1",769.0,48.0,882.0,46.0,1576.0,615.0,"36,6","30,8","1,8617",,
2645,28/06/2004,23.00.00,2,1085.0,-200.0,"11,7",1039.0,100.0,745.0,96.0,1790.0,1092.0,"27,8","38,7","1,4187",,
3938,21/08/2004,20.00.00,-200,931.0,-200.0,"7,8",890.0,-200.0,831.0,-200.0,1474.0,841.0,"24,6","38,0","1,1580",,
2881,08/07/2004,19.00.00,"5,1",1611.0,-200.0,"30,0",1552.0,317.0,487.0,206.0,2371.0,1948.0,"34,9","29,3","1,6110",,
1874,27/05/2004,20.00.00,-200,1136.0,-200.0,"16,2",1187.0,-200.0,904.0,-200.0,1735.0,1127.0,"23,7","28,4","0,8225",,
2797,05/07/2004,07.00.00,2,1104.0,-200.0,"14,3",1125.0,165.0,697.0,80.0,1815.0,1179.0,"21,6","44,1","1,1269",,
1483,11/05/2004,13.00.00,"2,3",1140.0,-200.0,"14,4",1129.0,132.0,765.0,94.0,1728.0,1023.0,"23,8","31,7","0,9212",,
3538,05/08/2004,04.00.00,-200,851.0,-200.0,"2,1",592.0,-200.0,1054.0,-200.0,1482.0,578.0,"24,5","57,1","1,7327",,
3347,28/07/2004,05.00.00,-200,798.0,-200.0,"3,9",706.0,61.0,977.0,74.0,1363.0,798.0,"20,6","41,5","0,9982",,
996,21/04/2004,06.00.00,-200,1035.0,-200.0,"8,7",929.0,-200.0,887.0,-200.0,1599.0,1009.0,"10,2","70,9","0,8841",,
303,23/03/2004,09.00.00,"3,8",1498.0,535.0,"21,0",1325.0,244.0,684.0,132.0,2095.0,1329.0,"11,2","69,7","0,9232",,
1813,25/05/2004,07.00.00,"1,1",1002.0,-200.0,"8,8",932.0,101.0,949.0,82.0,1405.0,917.0,"15,2","31,0","0,5329",,
14,11/03/2004,08.00.00,2,1333.0,64.0,"8,0",900.0,174.0,1136.0,112.0,1517.0,1102.0,"10,8","57,4","0,7408",,
2693,30/06/2004,23.00.00,"2,6",1180.0,-200.0,"14,2",1122.0,128.0,678.0,112.0,1921.0,1272.0,"27,8","45,2","1,6604",,
3034,15/07/2004,04.00.00,-200,797.0,-200.0,"2,5",621.0,23.0,1105.0,37.0,1303.0,562.0,"21,6","44,0","1,1225",,
2044,03/06/2004,22.00.00,-200,944.0,-200.0,"7,8",891.0,-200.0,1016.0,-200.0,1593.0,844.0,"22,1","43,9","1,1521",,
2263,13/06/2004,01.00.00,1,972.0,-200.0,"5,8",804.0,47.0,955.0,53.0,1620.0,734.0,"25,4","45,5","1,4570",,
2879,08/07/2004,17.00.00,"3,1",1308.0,-200.0,"20,5",1310.0,250.0,628.0,200.0,1891.0,1385.0,"39,1","16,9","1,1705",,
2662,29/06/2004,16.00.00,"2,7",1265.0,-200.0,"17,6",1229.0,156.0,636.0,172.0,2040.0,1282.0,"38,0","25,0","1,6312",,
3331,27/07/2004,13.00.00,-200,939.0,-200.0,"6,9",853.0,96.0,890.0,81.0,1528.0,679.0,"31,7","26,4","1,2153",,
2569,25/06/2004,19.00.00,"3,4",1083.0,-200.0,"17,9",1237.0,210.0,737.0,129.0,1786.0,1077.0,"29,9","19,8","0,8211",,
1837,26/05/2004,07.00.00,-200,-200.0,-200.0,"-200,0",-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200,-200,,
493,31/03/2004,07.00.00,"3,1",1636.0,342.0,"15,6",1168.0,207.0,721.0,110.0,1926.0,1438.0,"13,8","58,2","0,9129",,
1762,23/05/2004,04.00.00,-200,973.0,-200.0,"4,9",761.0,49.0,954.0,55.0,1501.0,815.0,"18,0","57,6","1,1788",,
219,19/03/2004,21.00.00,4,1421.0,-200.0,"16,7",1202.0,249.0,748.0,143.0,1854.0,1429.0,"15,2","53,1","0,9117",,
1632,17/05/2004,18.00.00,"3,1",1153.0,-200.0,"15,6",1168.0,163.0,842.0,121.0,1644.0,1021.0,"24,3","19,8","0,5933",,
3776,15/08/2004,02.00.00,"0,5",826.0,-200.0,"2,7",631.0,24.0,1028.0,33.0,1473.0,593.0,"24,8","55,4","1,7054",,
359,25/03/2004,17.00.00,2,1102.0,143.0,"9,4",957.0,120.0,968.0,88.0,1527.0,820.0,"17,1","37,4","0,7225",,
2576,26/06/2004,02.00.00,"0,9",835.0,-200.0,"4,5",739.0,47.0,1036.0,61.0,1382.0,694.0,"21,2","37,6","0,9355",,
3729,13/08/2004,03.00.00,"0,4",810.0,-200.0,"1,5",544.0,-200.0,1264.0,-200.0,1485.0,447.0,"26,0","62,7","2,0737",,
2852,07/07/2004,14.00.00,"2,2",1090.0,-200.0,"14,1",1120.0,195.0,743.0,130.0,1629.0,1283.0,"42,5","10,2","0,8478",,
317,23/03/2004,23.00.00,"1,3",1041.0,74.0,"5,4",782.0,78.0,1105.0,86.0,1425.0,911.0,"11,0","61,4","0,8057",,
2318,15/06/2004,08.00.00,4,1195.0,-200.0,"24,8",1424.0,260.0,609.0,119.0,2244.0,1489.0,"23,7","39,9","1,1508",,
3502,03/08/2004,16.00.00,-200,1103.0,-200.0,"11,0",1014.0,-200.0,684.0,-200.0,1749.0,791.0,"38,0","24,7","1,6073",,
1899,28/05/2004,21.00.00,"0,9",976.0,-200.0,"7,0",858.0,104.0,1070.0,102.0,1547.0,839.0,"20,0","47,6","1,1030",,
2566,25/06/2004,16.00.00,"2,1",1033.0,-200.0,"11,7",1038.0,127.0,802.0,111.0,1690.0,826.0,"36,2","18,6","1,0945",,
18,11/03/2004,12.00.00,"1,6",1236.0,61.0,"5,2",774.0,104.0,1301.0,95.0,1401.0,664.0,"9,5","66,8","0,7951",,
2051,04/06/2004,05.00.00,-200,729.0,-200.0,"1,2",520.0,-200.0,1570.0,-200.0,1318.0,445.0,"19,2","51,1","1,1240",,
3483,02/08/2004,21.00.00,"1,2",1086.0,-200.0,"9,9",974.0,58.0,707.0,91.0,1733.0,795.0,"28,8","43,5","1,6989",,
2587,26/06/2004,13.00.00,"1,4",960.0,-200.0,"8,2",909.0,70.0,910.0,86.0,1523.0,675.0,"37,7","16,0","1,0231",,
3304,26/07/2004,10.00.00,-200,962.0,-200.0,"6,8",849.0,111.0,861.0,97.0,1559.0,804.0,"31,7","31,5","1,4487",,
3303,26/07/2004,09.00.00,-200,993.0,-200.0,"7,2",866.0,111.0,832.0,98.0,1637.0,823.0,"28,8","38,9","1,5184",,
2838,07/07/2004,00.00.00,"2,1",1112.0,-200.0,"14,3",1128.0,117.0,675.0,99.0,1771.0,1440.0,"26,9","32,6","1,1381",,
2515,23/06/2004,13.00.00,"2,1",1023.0,-200.0,"11,8",1042.0,132.0,796.0,101.0,1711.0,910.0,"35,4","19,9","1,1222",,
2571,25/06/2004,21.00.00,"2,7",1011.0,-200.0,"14,2",1122.0,203.0,808.0,137.0,1680.0,1071.0,"26,1","24,7","0,8233",,
3946,22/08/2004,04.00.00,-200,843.0,-200.0,"4,0",713.0,-200.0,917.0,-200.0,1426.0,836.0,"19,6","63,7","1,4396",,
1099,25/04/2004,13.00.00,"0,8",830.0,46.0,"2,2",596.0,54.0,1389.0,52.0,1145.0,371.0,"17,9","30,7","0,6234",,
1880,28/05/2004,02.00.00,-200,896.0,-200.0,"6,2",820.0,-200.0,1074.0,-200.0,1439.0,833.0,"16,6","49,7","0,9295",,
2746,03/07/2004,04.00.00,"0,4",828.0,-200.0,"2,8",639.0,27.0,1077.0,41.0,1371.0,573.0,"22,6","43,0","1,1629",,
1153,27/04/2004,19.00.00,"3,9",1388.0,457.0,"21,6",1341.0,177.0,702.0,131.0,1955.0,1315.0,"23,7","30,2","0,8718",,
1490,11/05/2004,20.00.00,5,1535.0,-200.0,"26,1",1458.0,269.0,568.0,159.0,2120.0,1735.0,"21,1","40,2","0,9970",,
933,18/04/2004,15.00.00,-200,1139.0,-200.0,"6,8",847.0,-200.0,929.0,-200.0,1604.0,701.0,"16,2","62,4","1,1423",,
2654,29/06/2004,08.00.00,"5,7",1502.0,-200.0,"33,5",1631.0,350.0,459.0,140.0,2622.0,1858.0,"27,1","43,1","1,5224",,
1686,20/05/2004,00.00.00,"1,5",1164.0,-200.0,"8,2",908.0,90.0,821.0,102.0,1574.0,1019.0,"18,5","50,1","1,0539",,
2975,12/07/2004,17.00.00,"3,1",1073.0,-200.0,"14,0",1117.0,220.0,693.0,119.0,1762.0,1052.0,"24,0","36,3","1,0708",,
1664,19/05/2004,02.00.00,"0,5",901.0,-200.0,"3,0",653.0,41.0,1094.0,65.0,1367.0,822.0,"18,4","45,7","0,9599",,
703,09/04/2004,01.00.00,"1,8",-200.0,159.0,"-200,0",-200.0,118.0,-200.0,97.0,-200.0,-200.0,-200,-200,-200,,
3322,27/07/2004,04.00.00,-200,800.0,-200.0,"2,4",615.0,29.0,1064.0,46.0,1396.0,614.0,"24,6","43,4","1,3248",,
1333,05/05/2004,07.00.00,"3,5",1440.0,-200.0,"19,1",1271.0,251.0,630.0,107.0,2163.0,1273.0,"15,1","76,8","1,3061",,
1870,27/05/2004,16.00.00,-200,1059.0,-200.0,"11,3",1027.0,-200.0,1066.0,-200.0,1521.0,764.0,"31,3","15,8","0,7106",,
3629,08/08/2004,23.00.00,"1,7",1066.0,-200.0,"9,0",940.0,86.0,683.0,89.0,1744.0,978.0,"26,6","56,4","1,9349",,
3387,29/07/2004,21.00.00,-200,1106.0,-200.0,"13,8",1109.0,129.0,658.0,135.0,1752.0,1106.0,"28,5","32,1","1,2296",,
2901,09/07/2004,15.00.00,"1,5",989.0,-200.0,"10,3",990.0,113.0,822.0,138.0,1577.0,705.0,"33,2","20,4","1,0195",,
3674,10/08/2004,20.00.00,"1,7",1136.0,-200.0,"9,7",967.0,65.0,703.0,67.0,1801.0,927.0,"32,3","43,6","2,0700",,
343,25/03/2004,01.00.00,1,970.0,52.0,"2,5",621.0,42.0,1400.0,58.0,1249.0,479.0,"11,0","58,4","0,7686",,
1021,22/04/2004,07.00.00,-200,1234.0,-200.0,"13,8",1109.0,-200.0,767.0,-200.0,1729.0,1194.0,"13,9","57,2","0,9029",,
290,22/03/2004,20.00.00,"4,5",1425.0,624.0,"21,0",1325.0,238.0,678.0,146.0,1965.0,1356.0,"15,3","47,4","0,8178",,
1621,17/05/2004,07.00.00,"2,6",1196.0,-200.0,"14,4",1131.0,216.0,775.0,113.0,1675.0,1243.0,"17,6","35,0","0,6965",,
340,24/03/2004,22.00.00,"1,7",1047.0,97.0,"5,9",809.0,118.0,1064.0,108.0,1435.0,766.0,"10,1","66,9","0,8248",,
2577,26/06/2004,03.00.00,"1,1",844.0,-200.0,"4,9",759.0,-200.0,1005.0,-200.0,1409.0,848.0,"19,5","42,3","0,9461",,
275,22/03/2004,05.00.00,"0,3",845.0,-200.0,"0,7",472.0,15.0,1786.0,23.0,1278.0,378.0,"16,5","53,9","1,0049",,
2256,12/06/2004,18.00.00,"1,1",1022.0,-200.0,"6,2",823.0,51.0,964.0,61.0,1599.0,631.0,"32,5","27,6","1,3229",,
2991,13/07/2004,09.00.00,"3,6",1137.0,-200.0,"16,7",1200.0,321.0,648.0,135.0,1821.0,1489.0,"21,7","42,4","1,0859",,
2187,09/06/2004,21.00.00,"2,7",1151.0,-200.0,"15,2",1154.0,151.0,747.0,132.0,1894.0,1186.0,"28,4","35,7","1,3549",,
1904,29/05/2004,02.00.00,"0,6",892.0,-200.0,"5,1",767.0,71.0,1180.0,84.0,1466.0,657.0,"18,0","51,4","1,0504",,
854,15/04/2004,08.00.00,-200,1508.0,-200.0,"22,1",1355.0,-200.0,609.0,-200.0,2034.0,1623.0,"11,6","58,7","0,7999",,
873,16/04/2004,03.00.00,1,974.0,68.0,"2,7",635.0,-200.0,1159.0,-200.0,1387.0,778.0,"12,9","68,5","1,0155",,
679,08/04/2004,01.00.00,"1,5",1051.0,95.0,"5,7",798.0,84.0,1016.0,89.0,1455.0,876.0,"9,0","76,7","0,8825",,
2135,07/06/2004,17.00.00,"3,3",1082.0,-200.0,"18,9",1266.0,227.0,788.0,124.0,1910.0,1139.0,"33,5","19,9","1,0112",,
4,10/03/2004,22.00.00,"1,6",1272.0,51.0,"6,5",836.0,131.0,1205.0,116.0,1490.0,1110.0,"11,2","59,6","0,7888",,
232,20/03/2004,10.00.00,"2,6",1425.0,-200.0,"12,5",1068.0,166.0,776.0,107.0,1764.0,1341.0,"15,0","52,3","0,8881",,
67,13/03/2004,13.00.00,"2,8",1328.0,154.0,"12,3",1059.0,153.0,987.0,124.0,1600.0,1101.0,"19,4","31,3","0,6950",,
3848,18/08/2004,02.00.00,-200,935.0,-200.0,"5,4",782.0,-200.0,847.0,-200.0,1428.0,867.0,"24,4","42,5","1,2854",,
1443,09/05/2004,21.00.00,-200,1068.0,-200.0,"8,4",917.0,-200.0,889.0,-200.0,1570.0,832.0,"14,9","55,0","0,9228",,
795,12/04/2004,21.00.00,"0,8",904.0,56.0,"2,7",635.0,66.0,1269.0,74.0,1233.0,489.0,"10,6","56,1","0,7149",,
1404,08/05/2004,06.00.00,-200,871.0,-200.0,"2,6",628.0,-200.0,1243.0,-200.0,1329.0,518.0,"8,7","81,5","0,9190",,
3158,20/07/2004,08.00.00,-200,1626.0,-200.0,"37,3",1713.0,395.0,412.0,166.0,2643.0,2176.0,"27,0","38,7","1,3610",,
3422,31/07/2004,08.00.00,"1,5",1069.0,-200.0,"9,2",947.0,89.0,728.0,86.0,1763.0,1039.0,"25,2","51,0","1,6131",,
2674,30/06/2004,04.00.00,"0,5",864.0,-200.0,"2,6",629.0,28.0,1052.0,42.0,1558.0,728.0,"26,9","51,8","1,8050",,
2115,06/06/2004,21.00.00,"1,4",877.0,-200.0,"7,0",858.0,118.0,1080.0,89.0,1535.0,724.0,"21,8","39,2","1,0115",,
2068,04/06/2004,22.00.00,2,1016.0,-200.0,"10,0",977.0,-200.0,951.0,-200.0,1652.0,948.0,"22,4","41,0","1,1006",,
1337,05/05/2004,11.00.00,"2,6",1143.0,-200.0,"13,0",1083.0,190.0,735.0,120.0,1887.0,1083.0,"17,2","62,9","1,2228",,
1980,01/06/2004,06.00.00,"0,3",985.0,-200.0,"6,1",816.0,107.0,987.0,65.0,1677.0,799.0,"17,3","78,6","1,5412",,
2158,08/06/2004,16.00.00,"2,2",1056.0,-200.0,"13,0",1083.0,-200.0,865.0,-200.0,1723.0,898.0,"37,8","17,4","1,1219",,
487,31/03/2004,01.00.00,1,973.0,50.0,"2,7",631.0,44.0,1287.0,64.0,1240.0,541.0,"14,8","40,8","0,6814",,
1366,06/05/2004,16.00.00,"3,6",1272.0,-200.0,"14,6",1136.0,209.0,730.0,139.0,1869.0,1077.0,"12,7","74,2","1,0863",,
276,22/03/2004,06.00.00,"0,6",942.0,-200.0,"2,0",586.0,41.0,1480.0,46.0,1373.0,432.0,"16,4","54,0","0,9979",,
2620,27/06/2004,22.00.00,"2,4",1105.0,-200.0,"11,9",1046.0,146.0,777.0,137.0,1751.0,1102.0,"29,0","33,6","1,3277",,
3756,14/08/2004,06.00.00,"0,5",835.0,-200.0,"2,6",626.0,39.0,1088.0,41.0,1471.0,563.0,"24,7","55,9","1,7114",,
404,27/03/2004,14.00.00,"2,5",1157.0,305.0,"12,6",1072.0,137.0,888.0,114.0,1596.0,905.0,"17,7","28,6","0,5735",,
1290,03/05/2004,12.00.00,"1,9",1048.0,-200.0,"11,0",1013.0,127.0,886.0,96.0,1584.0,940.0,"26,8","25,2","0,8721",,
1844,26/05/2004,14.00.00,"1,6",1027.0,-200.0,"11,8",1041.0,128.0,1237.0,112.0,1345.0,915.0,"32,3","13,3","0,6303",,
2286,14/06/2004,00.00.00,"0,7",785.0,-200.0,"2,0",582.0,33.0,1377.0,45.0,1311.0,417.0,"19,4","45,9","1,0242",,
3578,06/08/2004,20.00.00,"2,6",1126.0,-200.0,"13,2",1089.0,153.0,620.0,116.0,1886.0,1208.0,"26,4","54,6","1,8459",,
2894,09/07/2004,08.00.00,"2,7",1179.0,-200.0,"15,1",1153.0,172.0,654.0,-200.0,1877.0,1096.0,"27,0","35,3","1,2396",,
87,14/03/2004,09.00.00,"1,6",1235.0,57.0,"6,4",828.0,118.0,1055.0,83.0,1527.0,1093.0,"12,4","60,0","0,8627",,
1415,08/05/2004,17.00.00,-200,918.0,-200.0,"7,1",863.0,-200.0,992.0,-200.0,1408.0,539.0,"19,8","33,6","0,7670",,
2264,13/06/2004,02.00.00,"0,6",880.0,-200.0,"3,4",677.0,24.0,1109.0,36.0,1500.0,554.0,"26,2","43,6","1,4599",,
3800,16/08/2004,02.00.00,"0,5",810.0,-200.0,"3,1",657.0,11.0,1016.0,20.0,1337.0,629.0,"24,5","41,5","1,2589",,
2273,13/06/2004,11.00.00,"0,7",838.0,-200.0,"2,5",620.0,62.0,1292.0,74.0,1325.0,502.0,"21,7","38,3","0,9842",,
2047,04/06/2004,01.00.00,-200,880.0,-200.0,"5,7",799.0,-200.0,1097.0,-200.0,1533.0,724.0,"21,2","47,6","1,1799",,
3434,31/07/2004,20.00.00,"1,8",1080.0,-200.0,"10,7",1004.0,90.0,724.0,114.0,1704.0,899.0,"31,8","34,5","1,5911",,
717,09/04/2004,15.00.00,"3,4",-200.0,337.0,"-200,0",-200.0,243.0,-200.0,137.0,-200.0,-200.0,-200,-200,-200,,
